,Credit Score,First Payment Date,First Time Homebuyer Flag,Maturity Date,Metropolitan Statistical Area (MSA) Or Metropolitan Division,Mortgage Insurance Percentage (MI %),Number of Units,Occupancy Status,Original Combined Loan-to-Value (CLTV),Original Debt-to-Income (DTI) Ratio,Original UPB,Original Loan-to-Value (LTV),Original Interest Rate,Channel,Prepayment Penalty Mortgage (PPM) Flag,Amortization Type (Formerly Product Type),Property State,Property Type,Postal Code,Loan Sequence Number,Loan Purpose,Original Loan Term,Number of Borrowers,Seller Name,Servicer Name,Super Conforming Flag,Pre-HARP Loan Sequence Number,Program Indicator,HARP Indicator,Property Valuation Method,Interest Only (I/O) Indicator,Mortgage Insurance Cancellation Indicator
239,780,202303,N,203802,30340.0,0,1,P,28,39,170000,28,5.741,B,N,FRM,ME,SF,4200,F23Q10003590,N,180,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
240,763,202303,N,203802,28140.0,0,1,I,75,23,224000,75,5.875,B,N,FRM,MO,PU,64000,F23Q10003592,P,180,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
241,797,202303,N,205302,49340.0,30,1,P,95,34,223000,95,6.375,C,N,FRM,MA,SF,1000,F23Q10003605,P,360,1,NEWREZ LLC,NEW RESIDENTIAL MORTGAGE LLC,,,9,,2,N,N
242,797,202303,N,205302,17140.0,0,1,P,80,39,149000,80,6.49,R,N,FRM,OH,CO,45200,F23Q10003625,C,360,1,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N,7
243,764,202303,Y,205302,12420.0,25,1,P,90,28,590000,90,5.0,B,N,FRM,TX,PU,78600,F23Q10003668,P,360,2,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,N
244,742,202303,N,205302,19740.0,0,1,P,73,36,411000,73,6.125,R,N,FRM,CO,PU,80600,F23Q10003678,C,360,1,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,Other servicers,,,9,,2,N,7
245,725,202303,N,205302,45940.0,0,1,P,76,28,589000,76,6.49,R,N,FRM,NJ,SF,8600,F23Q10003682,C,360,2,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N,7
246,757,202303,N,205302,22900.0,0,1,P,50,31,80000,50,6.99,R,N,FRM,AR,SF,72900,F23Q10003688,C,360,1,Other sellers,Other servicers,,,9,,2,N,7
247,750,202303,N,205302,44700.0,0,1,P,80,47,675000,80,4.75,R,N,FRM,CA,SF,95300,F23Q10003716,P,360,2,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,7
248,753,202303,N,205302,15980.0,0,1,P,80,49,313000,80,6.25,R,N,FRM,FL,PU,33900,F23Q10003721,P,360,1,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,7
